device_name,device_eui,recorded_at_utc,f_cnt,payload_version,status_flags,i2c_missing,timeout,temp_fault,id_fault,ch1_open,ch2_open,ch3_open,data_invalid,calibration_status,temp_c,array_id,swt_1,swt_2,swt_3,bat_v,payload_b64
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:02:21.306,299,1,0,f,f,f,f,f,f,f,f,calibrated,23.37,28DE7EC80B0000E2,49.77,39.58,0.91,3.6,AE4B9AABCCQBAAkhAACxxQAAUPIAAAJYAACuoQAAT4QAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:07:21.054,300,1,0,f,f,f,f,f,f,f,f,calibrated,23.31,28DE7EC80B0000E2,49.67,39.58,0.91,3.6,AE4B9AABCCQBAAkbAACwnQAAUPIAAAJYAACtfgAAT4QAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:12:21.033,301,1,0,f,f,f,f,f,f,f,f,calibrated,23.31,28DE7EC80B0000E2,49.67,39.58,0.91,3.6,AE8B9AABCCQBAAkbAACwnQAAUPIAAAJYAACtfgAAT4QAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:17:21.012,302,1,0,f,f,f,f,f,f,f,f,calibrated,23.25,28DE7EC80B0000E2,49.67,39.52,0.91,3.6,AE8B8wABCCQBAAkVAACwnQAAUJYAAAJYAACtfgAATyoAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:22:20.987,303,1,0,f,f,f,f,f,f,f,f,calibrated,23.18,28DE7EC80B0000E2,49.67,39.52,0.91,3.6,AE8B8wABCCQBAAkOAACwnQAAUJYAAAJYAACtfgAATyoAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:27:20.968,304,1,0,f,f,f,f,f,f,f,f,calibrated,23.18,28DE7EC80B0000E2,49.57,39.46,0.91,3.6,AE8B9QABCCQBAAkOAACveAAAUDsAAAJYAACsXgAATtAAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:32:21.164,305,1,0,f,f,f,f,f,f,f,f,calibrated,23.12,28DE7EC80B0000E2,49.57,39.46,0.91,3.6,AE8B9AABCCQBAAkIAACveAAAUDsAAAJYAACsXgAATtAAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:37:21.169,306,1,0,f,f,f,f,f,f,f,f,calibrated,23.06,28DE7EC80B0000E2,49.57,39.41,0.91,3.6,AE4B9AABCCQBAAkCAACveAAAT+EAAAJYAACsXgAATngAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:42:21.147,307,1,0,f,f,f,f,f,f,f,f,calibrated,23,28DE7EC80B0000E2,49.57,39.35,0.91,3.6,AE4B9gABCCQBAAj8AACveAAAT4gAAAJYAACsXgAATiAAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:47:21.137,308,1,0,f,f,f,f,f,f,f,f,calibrated,23,28DE7EC80B0000E2,49.46,39.35,0.91,3.6,AE8B9AAACCQBAAj8AACuVwAAT4gAAAJYAACrQgAATiAAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:52:21.323,309,1,128,f,f,f,f,f,f,f,f,calibrated,22.93,28DE7EC80B0000E2,49.19,39.13,0.92,3.6,AE8B9AABCCQBgAj1AACrQgAATiAAAAJZAACrQgAATiAAAAJZKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 00:57:21.304,310,1,128,f,f,f,f,f,f,f,f,calibrated,22.87,28DE7EC80B0000E2,49.19,39.07,0.74,3.6,AE8B9QABCCQBgAjvAACrQgAATcgAAAJOAACrQgAATcgAAAJOKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 01:02:21.286,311,1,128,f,f,f,f,f,f,f,f,calibrated,22.87,28DE7EC80B0000E2,49.19,39.07,0.92,3.6,AFAB9AABCCQBgAjvAACrQgAATcgAAAJZAACrQgAATcgAAAJZKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 01:07:21.262,312,1,128,f,f,f,f,f,f,f,f,calibrated,22.81,28DE7EC80B0000E2,49.19,39.07,0.92,3.6,AE4B9QABCCQBgAjpAACrQgAATcgAAAJZAACrQgAATcgAAAJZKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 01:12:21.262,313,1,128,f,f,f,f,f,f,f,f,calibrated,22.75,28DE7EC80B0000E2,49.09,39.02,0.92,3.6,AE4B9AABCCQBgAjjAACqKAAATXEAAAJZAACqKAAATXEAAAJZKN5+yAsAAOI=
Chameleon 1,A84041A75D5E7CFB,2026-06-17 01:17:21.517,314,1,128,f,f,f,f,f,f,f,f,calibrated,22.68,28DE7EC80B0000E2,49.09,39.02,0.74,3.6,AE8B9AABCCQBgAjcAACqKAAATXEAAAJOAACqKAAATXEAAAJOKN5+yAsAAOI=
